appId,num_reviews,avg_rating,low_rating_pct,first_review_date,last_review_date
ai.audionotes.app,8,3.0,50.0,2025-01-30T00:35:45+00:00,2025-12-28T00:20:56+00:00
ai.fireflies.mobile,268,3.97,20.522,2023-09-04T16:54:48+00:00,2026-01-05T10:55:05+00:00
ai.forty4pixels.voices,6,3.0,33.333,2025-12-20T05:04:56+00:00,2025-12-29T15:23:06+00:00
ai.meeting.app,246,4.374,13.008,2024-07-02T02:26:37+00:00,2026-01-04T02:25:01+00:00
ai.note.notepad.memo.journal.freenote,1200,4.713,4.0,2025-10-08T18:48:46+00:00,2026-01-06T17:02:21+00:00
ai.notes.notebook,496,4.036,18.548,2024-12-13T18:27:18+00:00,2026-01-02T06:35:55+00:00
ai.plaud.android.plaud,1200,4.467,10.0,2025-03-21T20:17:50+00:00,2026-01-06T10:38:50+00:00
ai.transcribe.voice.to.text.notes.meeting.assistant,1200,4.147,18.333,2025-02-08T20:17:11+00:00,2026-01-06T14:06:53+00:00
ai.turbolearn,1000,4.457,8.8,2025-12-09T00:16:46+00:00,2026-01-06T16:42:23+00:00
ai.voicetonotes.mobileapp,58,4.069,13.793,2025-07-17T19:06:01+00:00,2026-01-02T16:44:56+00:00
app.coconote,274,3.73,28.467,2025-04-24T04:45:15+00:00,2026-01-02T16:28:47+00:00
cn.wps.moffice_eng,1200,3.945,23.333,2026-01-01T10:09:13+00:00,2026-01-06T17:09:45+00:00
co.diy14.vlkol,78,4.359,15.385,2023-08-12T12:24:05+00:00,2025-09-29T17:47:12+00:00
co.speechnotes.speechnotes,1200,3.982,20.0,2023-05-19T17:57:41+00:00,2026-01-06T08:44:50+00:00
com.ai.transcribe.voice.to.text.free,68,4.647,5.882,2025-04-28T11:57:42+00:00,2025-12-29T22:28:58+00:00
com.ainotesvoice.notepaddiary,196,4.041,16.327,2025-04-17T05:10:55+00:00,2026-01-02T02:37:06+00:00
com.aisense.otter,1000,3.113,42.7,2024-01-29T19:54:47+00:00,2026-01-05T08:26:22+00:00
com.app.ai.book.summary,82,4.317,9.756,2024-04-03T18:45:29+00:00,2026-01-03T10:34:17+00:00
com.app.writecream,1200,4.502,8.0,2024-03-22T20:49:44+00:00,2026-01-06T06:03:41+00:00
com.appzone.noteai,54,4.296,14.815,2025-05-19T12:45:42+00:00,2025-11-28T02:32:35+00:00
com.artmvstd.voiceTranscriber,10,3.8,20.0,2025-06-11T16:48:43+00:00,2025-12-13T13:44:11+00:00
com.atomczak.notepat,1200,4.607,6.167,2025-10-24T06:54:57+00:00,2026-01-06T16:00:27+00:00
com.aya.textsummarizer,762,3.68,28.609,2020-08-31T19:02:52+00:00,2026-01-05T08:30:34+00:00
com.codespaceapps.meetingtranscriber,1000,3.701,28.1,2025-07-19T10:41:46+00:00,2026-01-06T13:32:36+00:00
